site,x,y,z,reference_psi,hardware_psi,reference_density,hardware_density,density_error
0,0,0,0,-28248.966125488281,-28248.966125488299,798004087.15898442,798004087.15898538,9.5367431640625e-07
1,1,0,0,-21569.696182250977,-21569.696182250998,465251793.39461237,465251793.39461327,8.9406967163085938e-07
2,2,0,0,-20432.289321899414,-20432.2893218994,417478446.93380481,417478446.93380421,-5.9604644775390625e-07
3,3,0,0,-21333.383590698242,-21333.383590698199,455113255.42787302,455113255.42787117,-1.8477439880371094e-06
4,4,0,0,-28444.462188720703,-28444.462188720699,809087429.20556176,809087429.20556152,-2.384185791015625e-07
5,5,0,0,13346.617660522461,13346.617660522499,178132202.97617006,178132202.97617108,1.0132789611816406e-06
6,6,0,0,-11815.17008972168,-11815.1700897217,139598244.24905381,139598244.24905428,4.76837158203125e-07
7,7,0,0,11266.57763671875,11266.577636718799,126935771.64421105,126935771.64421216,1.1026859283447266e-06
8,0,1,0,-1198.8349151611328,-1198.8349151611001,1437205.1538094005,1437205.153809322,-7.8463926911354065e-08
9,1,1,0,29921.860733032227,29921.860733032201,895317749.7269758,895317749.72697437,-1.430511474609375e-06
10,2,1,0,-15685.534591674805,-15685.534591674799,246035995.42662689,246035995.42662671,-1.7881393432617188e-07
11,3,1,0,-14030.292419433594,-14030.292419433599,196849105.37481576,196849105.37481591,1.4901161193847656e-07
12,4,1,0,19907.437606811523,19907.437606811502,396306072.0690937,396306072.06909287,-8.3446502685546875e-07
13,5,1,0,32534.855102539062,32534.855102539099,1058516796.5432121,1058516796.5432144,2.384185791015625e-06
14,6,1,0,-22398.684799194336,-22398.6847991943,501701080.73365939,501701080.73365778,-1.6093254089355469e-06
15,7,1,0,-13025.695816040039,-13025.695816040001,169668751.49200299,169668751.49200198,-1.0132789611816406e-06
16,0,2,0,-3693.5729064941406,-3693.5729064941002,13642480.815587573,13642480.815587275,-2.9802322387695312e-07
17,1,2,0,-312.03012084960938,-312.0301208496,97362.796317421831,97362.796317415981,-5.8498699218034744e-09
18,2,2,0,19994.463104248047,19994.463104248,399778554.82713646,399778554.82713455,-1.9073486328125e-06
19,3,2,0,-25414.013854980469,-25414.013854980501,645872100.22113919,645872100.22114086,1.6689300537109375e-06
20,4,2,0,-18026.284561157227,-18026.284561157201,324946935.07981539,324946935.07981449,-8.9406967163085938e-07
21,5,2,0,5092.1117858886719,5092.1117858887001,25929602.439986318,25929602.439986605,2.8684735298156738e-07
22,6,2,0,-10606.201950073242,-10606.2019500732,112491519.80573745,112491519.80573656,-8.9406967163085938e-07
23,7,2,0,-18647.32453918457,-18647.324539184599,347722712.46967506,347722712.46967614,1.0728836059570312e-06
24,0,3,0,13836.261505126953,13836.261505127,191442132.43825799,191442132.43825927,1.2814998626708984e-06
25,1,3,0,-4382.1335754394531,-4382.1335754395004,19203094.672993764,19203094.672994182,4.1723251342773438e-07
26,2,3,0,-13166.713180541992,-13166.713180541999,173362335.97865823,173362335.97865841,1.7881393432617188e-07
27,3,3,0,-22414.250946044922,-22414.2509460449,502398645.47227567,502398645.47227472,-9.5367431640625e-07
28,4,3,0,3791.0385589599609,3791.03855896,14371973.355521217,14371973.355521513,2.9616057872772217e-07
29,5,3,0,9770.4087829589844,9770.4087829590007,95460887.786122069,95460887.786122382,3.1292438507080078e-07
30,6,3,0,-20884.941879272461,-20884.941879272501,436180797.30058873,436180797.3005904,1.6689300537109375e-06
31,7,3,0,-27081.652206420898,-27081.652206420898,733415886.2295419,733415886.2295419,0
32,0,4,0,-16283.611114501953,-16283.611114502,265155990.92833155,265155990.92833307,1.5199184417724609e-06
33,1,4,0,5425.0082244873047,5425.0082244873001,29430714.2357549,29430714.235754848,-5.2154064178466797e-08
34,2,4,0,-26827.802947998047,-26827.802947998,719731011.01661265,719731011.01661015,-2.5033950805664062e-06
35,3,4,0,-20336.351898193359,-20336.351898193399,413567208.52715266,413567208.52715427,1.6093254089355469e-06
36,4,4,0,4457.4404602050781,4457.4404602051,19868775.456273258,19868775.456273451,1.9371509552001953e-07
37,5,4,0,11734.594940185547,11734.5949401855,137700718.41022825,137700718.41022712,-1.1324882507324219e-06
38,6,4,0,-27024.373657226562,-27024.373657226599,730316771.56540096,730316771.56540298,2.0265579223632812e-06
39,7,4,0,4098.1013488769531,4098.1013488770004,16794434.665667102,16794434.665667489,3.8743019104003906e-07
40,0,5,0,30019.363861083984,30019.363861083999,901162206.62415516,901162206.624156,8.3446502685546875e-07
41,1,5,0,-25335.503341674805,-25335.503341674801,641887729.57601523,641887729.576015,-2.384185791015625e-07
42,2,5,0,-8688.7675933837891,-8688.7675933838,75494682.291836321,75494682.291836515,1.9371509552001953e-07
43,3,5,0,5656.4962005615234,5656.4962005614998,31995949.26696695,31995949.266966682,-2.6822090148925781e-07
44,4,5,0,7096.406494140625,7096.4064941406004,50358985.130081236,50358985.130080886,-3.5017728805541992e-07
45,5,5,0,6747.9195556640625,6747.9195556640998,45534418.329713479,45534418.329713985,5.0663948059082031e-07
46,6,5,0,16522.161193847656,16522.1611938477,272981810.51548541,272981810.51548684,1.430511474609375e-06
47,7,5,0,13704.946960449219,13704.946960449201,187825571.18872628,187825571.18872577,-5.0663948059082031e-07
48,0,6,0,27037.294250488281,27037.294250488299,731015280.3874867,731015280.38748765,9.5367431640625e-07
49,1,6,0,-18407.174362182617,-18407.174362182599,338824067.99979305,338824067.9997924,-6.5565109252929688e-07
50,2,6,0,23649.094192504883,23649.094192504901,559279656.12596822,559279656.12596905,8.3446502685546875e-07
51,3,6,0,-18013.259155273438,-18013.259155273401,324477505.3950423,324477505.39504099,-1.3113021850585938e-06
52,4,6,0,24909.630706787109,24909.630706787098,620489701.94851124,620489701.94851077,-4.76837158203125e-07
53,5,6,0,17408.884796142578,17408.8847961426,303069269.84536421,303069269.84536499,7.7486038208007812e-07
54,6,6,0,323.20115661621094,323.20115661620002,104458.98763805651,104458.98763804945,-7.0576788857579231e-09
55,7,6,0,28702.021057128906,28702.021057128899,823806012.76387119,823806012.76387072,-4.76837158203125e-07
56,0,7,0,-12855.364837646484,-12855.364837646501,165260405.10899761,165260405.10899803,4.1723251342773438e-07
57,1,7,0,119.69467163085938,119.6946716309,14326.814416819252,14326.814416828978,9.7261363407596946e-09
58,2,7,0,3827.3163757324219,3827.3163757324,14648350.63994956,14648350.639949394,-1.6577541828155518e-07
59,3,7,0,-29774.623153686523,-29774.623153686502,886528183.94404566,886528183.94404435,-1.3113021850585938e-06
60,4,7,0,4466.8649139404297,4466.8649139403997,19952882.159392044,19952882.159391776,-2.6822090148925781e-07
61,5,7,0,-30781.747299194336,-30781.7472991943,947515966.79145777,947515966.79145551,-2.2649765014648438e-06
62,6,7,0,-26736.582229614258,-26736.582229614301,714844829.32092488,714844829.32092726,2.384185791015625e-06
63,7,7,0,-5650.8458251953125,-5650.8458251952998,31932058.540127292,31932058.540127147,-1.4528632164001465e-07
64,0,0,1,21441.621856689453,21441.6218566895,459743147.84526289,459743147.84526491,2.0265579223632812e-06
65,1,0,1,-11520.701599121094,-11520.701599121099,132726565.33599132,132726565.33599146,1.3411045074462891e-07
66,2,0,1,24689.469955444336,24689.4699554443,609569926.68078852,609569926.68078673,-1.7881393432617188e-06
67,3,0,1,-7431.6913757324219,-7431.6913757324,55230036.704135656,55230036.704135336,-3.2037496566772461e-07
68,4,0,1,9340.4147186279297,9340.4147186279006,87243347.115961269,87243347.115960717,-5.5134296417236328e-07
69,5,0,1,-23465.4931640625,-23465.4931640625,550629369.43266392,550629369.43266392,0
70,6,0,1,19560.780746459961,19560.780746460001,382624143.41107869,382624143.4110803,1.6093254089355469e-06
71,7,0,1,-14561.179458618164,-14561.1794586182,212027947.22608358,212027947.22608462,1.0430812835693359e-06
72,0,1,1,-3034.3006286621094,-3034.3006286620998,9206980.3050992712,9206980.3050992135,-5.7741999626159668e-08
73,1,1,1,2887.4931182861328,2887.4931182861001,8337616.5081497747,8337616.5081495857,-1.8905848264694214e-07
74,2,1,1,25105.592864990234,25105.592864990202,630290793.10264862,630290793.10264695,-1.6689300537109375e-06
75,3,1,1,-30305.496765136719,-30305.496765136701,918423134.18171215,918423134.18171108,-1.0728836059570312e-06
76,4,1,1,16016.819763183594,16016.819763183599,256538515.32630855,256538515.32630873,1.7881393432617188e-07
77,5,1,1,9707.3029327392578,9707.3029327392996,94231730.227968201,94231730.227969006,8.0466270446777344e-07
78,6,1,1,-8276.1465454101562,-8276.1465454101999,68494601.64110446,68494601.64110519,7.3015689849853516e-07
79,7,1,1,-27057.595413208008,-27057.595413208001,732113469.544855,732113469.54485464,-3.5762786865234375e-07
80,0,2,1,-8301.8331909179688,-8301.8331909179997,68920434.329827219,68920434.329827741,5.2154064178466797e-07
81,1,2,1,24299.807373046875,24299.8073730469,590480638.36718321,590480638.36718452,1.3113021850585938e-06
82,2,2,1,22588.862884521484,22588.862884521499,510256726.4157123,510256726.41571295,6.5565109252929688e-07
83,3,2,1,-5841.9735870361328,-5841.9735870361001,34128655.391627818,34128655.391627438,-3.7997961044311523e-07
84,4,2,1,24688.036544799805,24688.036544799801,609499148.43737066,609499148.43737054,-1.1920928955078125e-07
85,5,2,1,32165.837142944336,32165.8371429443,1034641079.1064174,1034641079.1064152,-2.2649765014648438e-06
86,6,2,1,13581.661010742188,13581.6610107422,184461515.81071448,184461515.81071484,3.5762786865234375e-07
87,7,2,1,21064.124053955078,21064.1240539551,443697322.16040891,443697322.16040981,8.9406967163085938e-07
88,0,3,1,-17747.061096191406,-17747.061096191399,314958177.55195051,314958177.55195028,-2.384185791015625e-07
89,1,3,1,8893.7813568115234,8893.7813568114998,79099346.822768226,79099346.822767809,-4.1723251342773438e-07
90,2,3,1,3647.0595855712891,3647.0595855713,13301043.620707422,13301043.620707503,8.0093741416931152e-08
91,3,3,1,-14770.788757324219,-14770.788757324201,218176200.51349553,218176200.513495,-5.3644180297851562e-07
92,4,3,1,31662.397018432617,31662.397018432599,1002507384.9528507,1002507384.9528495,-1.1920928955078125e-06
93,5,3,1,-31252.681579589844,-31252.6815795898,976730105.91523433,976730105.91523159,-2.7418136596679688e-06
94,6,3,1,-19621.584381103516,-19621.584381103501,385006573.62476546,385006573.62476486,-5.9604644775390625e-07
95,7,3,1,1011.3757019042969,1011.3757019042999,1022880.8104024092,1022880.8104024153,6.1700120568275452e-09
96,0,4,1,21918.494247436523,21918.494247436502,480420390.07490796,480420390.074907,-9.5367431640625e-07
97,1,4,1,5124.6894989013672,5124.6894989013999,26262442.460149948,26262442.460150283,3.3527612686157227e-07
98,2,4,1,-6949.2981719970703,-6949.2981719971003,48292745.083321825,48292745.083322242,4.1723251342773438e-07
99,3,4,1,12976.52180480957,12976.521804809599,168390118.15069821,168390118.15069899,7.7486038208007812e-07
100,4,4,1,21861.777420043945,21861.777420043902,477937311.9635433,477937311.96354139,-1.9073486328125e-06
101,5,4,1,-24403.903335571289,-24403.9033355713,595550498.01190746,595550498.01190805,5.9604644775390625e-07
102,6,4,1,20834.482391357422,20834.4823913574,434075656.51578248,434075656.51578158,-8.9406967163085938e-07
103,7,4,1,2458.6954040527344,2458.6954040526998,6045183.0899100387,6045183.0899098692,-1.6950070858001709e-07
104,0,5,1,-30636.727645874023,-30636.727645874002,938609080.8474617,938609080.84746039,-1.3113021850585938e-06
105,1,5,1,30003.083450317383,30003.083450317401,900185016.52670884,900185016.52670991,1.0728836059570312e-06
106,2,5,1,8930.5565032958984,8930.5565032959003,79754839.45856066,79754839.45856069,2.9802322387695312e-08
107,3,5,1,-28356.428161621094,-28356.428161621101,804087018.0851779,804087018.08517826,3.5762786865234375e-07
108,4,5,1,-24369.947235107422,-24369.9472351074,593894328.24191988,593894328.2419188,-1.0728836059570312e-06
109,5,5,1,21705.133697509766,21705.133697509798,471112828.82677394,471112828.82677537,1.430511474609375e-06
110,6,5,1,-6198.3061676025391,-6198.3061676025,38418999.347339675,38418999.347339191,-4.8428773880004883e-07
111,7,5,1,15276.84733581543,15276.847335815401,233382064.52181098,233382064.52181011,-8.6426734924316406e-07
112,0,6,1,-10240.196853637695,-10240.196853637701,104861631.60125135,104861631.60125147,1.1920928955078125e-07
113,1,6,1,24614.412414550781,24614.412414550799,605869298.51359165,605869298.51359248,8.3446502685546875e-07
114,2,6,1,22093.588363647461,22093.588363647501,488126646.78229851,488126646.78230023,1.7285346984863281e-06
115,3,6,1,392.27987670898438,392.27987670900001,153883.50167081598,153883.50167082823,1.2252712622284889e-08
116,4,6,1,-32092.607803344727,-32092.607803344701,1029935475.6193029,1029935475.6193012,-1.6689300537109375e-06
