site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,-28248.9661254883,20831.3421325684,-61.6943359375,0x91A708AC,0x515F5796,0xFFC24E40
1,1,0,0,-21569.6961822510,-3429.6425476074,-169.0751647949,0xABBE4DC7,0xF29A5B82,0xFF56ECC2
2,2,0,0,-20432.2893218994,24495.9931335449,-280.3623657227,0xB02FB5EF,0x5FAFFE3E,0xFEE7A33C
3,3,0,0,-21333.3835906982,-26987.7278137207,331.8283691406,0xACAA9DCD,0x969445AE,0x014BD410
4,4,0,0,-28444.4621887207,22634.5103302002,763.4958801270,0x90E389AE,0x586A82A5,0x02FB7EF2
5,5,0,0,13346.6176605225,-24771.8915100098,312.3071594238,0x34229E1F,0x9F3C1BC6,0x01384EA2
6,6,0,0,-11815.1700897217,-14170.3583831787,-125.2306518555,0xD1D8D475,0xC8A5A441,0xFF82C4F4
7,7,0,0,11266.5776367188,-10043.6874847412,-264.5748748779,0x2C0293E0,0xD8C45001,0xFEF76CD5
8,0,1,0,-1198.8349151611,14799.4132232666,427.3462371826,0xFB512A43,0x39CF69C9,0x01AB58A3
9,1,1,0,29921.8607330322,-1393.5293731689,1185.4117431641,0x74E1DC59,0xFA8E787B,0x04A16968
10,2,1,0,-15685.5345916748,-29511.5767364502,-550.8260498047,0xC2BA7725,0x8CB86C5B,0xFDD92C88
11,3,1,0,-14030.2924194336,1234.7706909180,80.6951751709,0xC931B524,0x04D2C54C,0x0050B1F7
12,4,1,0,19907.4376068115,-27795.9051971436,-74.5713348389,0x4DC37007,0x936C1845,0xFFB56DBD
13,5,1,0,32534.8551025391,30882.2689666748,-332.9341583252,0x7F16DAE8,0x78A244DB,0xFEB310DB
14,6,1,0,-22398.6847991943,31997.8596038818,-31.8856048584,0xA88150B1,0x7CFDDC0F,0xFFE01D49
15,7,1,0,-13025.6958160400,25632.9696044922,861.7163085938,0xCD1E4DDF,0x6420F838,0x035DB760
16,0,2,0,-3693.5729064941,17366.8760070801,-707.5341033936,0xF1926D56,0x43D6E042,0xFD3C7745
17,1,2,0,-312.0301208496,-953.0650024414,990.6915130615,0xFEC7F84A,0xFC46EF5C,0x03DEB107
18,2,2,0,19994.4631042480,29004.7662658691,510.7064819336,0x4E1A768E,0x714CC42A,0x01FEB4DC
19,3,2,0,-25414.0138549805,27224.8094329834,345.4710235596,0x9CB9FC74,0x6A58CF37,0x01597895
20,4,2,0,-18026.2845611572,-25984.6884307861,491.5048828125,0xB995B727,0x9A7F4FC3,0x01EB8140
21,5,2,0,5092.1117858887,-16813.3213958740,-57.3151245117,0x13E41C9E,0xBE52ADB9,0xFFC6AF54
22,6,2,0,-10606.2019500732,-1791.6140136719,504.3248748779,0xD691CC4D,0xF90062D0,0x01F8532B
23,7,2,0,-18647.3245391846,16164.0041961670,-247.5052032471,0xB728ACEB,0x3F240113,0xFF087EAB
24,0,3,0,13836.2615051270,3215.6608581543,612.0987548828,0x360C42F2,0x0C8FA92E,0x02641948
25,1,3,0,-4382.1335754395,5020.9598083496,-916.7611083984,0xEEE1DDCE,0x139CF5B6,0xFC6B3D28
26,2,3,0,-13166.7131805420,-4228.0530242920,-331.7880859375,0xCC91496D,0xEF7BF26D,0xFEB43640
27,3,3,0,-22414.2509460449,-19266.3631896973,-101.5366363525,0xA871BFC2,0xB4BDA306,0xFF9A769F
28,4,3,0,3791.0385589600,26891.9123687744,149.3378448486,0x0ECF09DF,0x690BE991,0x0095567D
29,5,3,0,9770.4087829590,28023.8598175049,863.0085906982,0x262A68A6,0x6D77DC1D,0x035F0233
30,6,3,0,-20884.9418792725,-18750.5284118652,507.8531799316,0xAE6B0EE1,0xB6C178BA,0x01FBDA6A
31,7,3,0,-27081.6522064209,4336.6253509521,7.2064666748,0x96365909,0x10F0A017,0x000734DB
32,0,4,0,-16283.6111145020,20219.4909210205,-266.8774261475,0xC064638E,0x4EFB7DAD,0xFEF51F61
33,1,4,0,5425.0082244873,-13883.5451049805,313.3826599121,0x1531021B,0xC9C47474,0x013961F6
34,2,4,0,-26827.8029479980,22171.7638092041,-889.9471740723,0x97343272,0x569BC389,0xFC860D86
35,3,4,0,-20336.3518981934,-6815.6215515137,-15.1220855713,0xB08FA5EA,0xE56060E2,0xFFF0E0BF
36,4,4,0,4457.4404602051,575.8745880127,-179.2190704346,0x116970C2,0x023FDFE5,0xFF4CC7EB
37,5,4,0,11734.5949401855,10656.3006134033,-804.2560272217,0x2DD6984E,0x29A04CF5,0xFCDBBE75
38,6,4,0,-27024.3736572266,-17853.1407623291,-160.0146026611,0x966FA058,0xBA42DBF7,0xFF5FFC43
39,7,4,0,4098.1013488770,-7301.9235534668,-259.7946319580,0x100219F2,0xE37A1392,0xFEFC3493
40,0,5,0,30019.3638610840,-3749.3342437744,30.5107879639,0x75435D26,0xF15AAA6F,0x001E82C3
41,1,5,0,-25335.5033416748,22102.4322814941,-730.1712799072,0x9D087F25,0x56566EAA,0xFD25D427
42,2,5,0,-8688.7675933838,18592.2163391113,350.3943481445,0xDE0F3B7F,0x48A03762,0x015E64F4
43,3,5,0,5656.4962005615,-3878.0709838867,759.6980895996,0x16187F07,0xF0D9EDD4,0x02F7B2B6
44,4,5,0,7096.4064941406,-10512.2834930420,-490.3269805908,0x1BB86810,0xD6EFB76D,0xFE15AC4B
45,5,5,0,6747.9195556641,11822.9365081787,554.5120239258,0x1A5BEB68,0x2E2EEFBF,0x022A8314
46,6,5,0,16522.1611938477,19589.1974029541,-790.3250122070,0x408A2944,0x4C853289,0xFCE9ACCC
47,7,5,0,13704.9469604492,-5945.8010406494,-318.0565185547,0x3588F26C,0xE8C632EF,0xFEC1F188
48,0,6,0,27037.2942504883,-3682.5393066406,-159.0866699219,0x699D4B54,0xF19D75F0,0xFF60E9D0
49,1,6,0,-18407.1743621826,-2971.3569335938,-343.5598449707,0xB818D35D,0xF464A4A0,0xFEA870AE
50,2,6,0,23649.0941925049,21425.5118255615,691.6970062256,0x5C61181D,0x53B18307,0x02B3B26F
51,3,6,0,-18013.2591552734,27949.5378417969,18.3495635986,0xB9A2BDA8,0x6D2D89B0,0x0012597D
52,4,6,0,24909.6307067871,-21964.1742248535,1229.1148986816,0x614DA176,0xAA33D366,0x04CD1D6A
53,5,6,0,17408.8847961426,-1085.4650421143,-526.3723297119,0x4400E282,0xFBC288F3,0xFDF1A0AF
54,6,6,0,323.2011566162,26697.6777801514,-572.7768249512,0x0143337F,0x6849AD83,0xFDC33922
55,7,6,0,28702.0210571289,21665.3655395508,-1004.4285430908,0x701E0564,0x54A15D94,0xFC13924B
56,0,7,0,-12855.3648376465,-4218.0426635742,-105.4621429443,0xCDC8A29A,0xEF85F514,0xFF9689B1
57,1,7,0,119.6946716309,21358.8450317383,-564.5119628906,0x0077B1D6,0x536ED854,0xFDCB7CF0
58,2,7,0,3827.3163757324,31782.3699188232,679.9396972656,0x0EF350FE,0x7C265EB3,0x02A7F090
59,3,7,0,-29774.6231536865,9846.0570831299,-812.8033599854,0x8BB16079,0x26760E9D,0xFCD33257
60,4,7,0,4466.8649139404,-19883.4748840332,458.7948150635,0x1172DD6B,0xB254866E,0x01CACB79
61,5,7,0,-30781.7472991943,-631.6489562988,1150.9799652100,0x87C240B1,0xFD8859DE,0x047EFADF
62,6,7,0,-26736.5822296143,30433.5441436768,110.6745910645,0x978F6AF3,0x76E18B4D,0x006EACB2
63,7,7,0,-5650.8458251953,-25180.1133117676,402.0195617676,0xE9ED2778,0x9DA3E2FE,0x01920502
64,0,0,1,21441.6218566895,2995.6189422607,-606.2076263428,0x53C19F32,0x0BB39E73,0xFDA1CAD9
65,1,0,1,-11520.7015991211,26689.0024566650,830.3324737549,0xD2FF4C64,0x684100A1,0x033E551D
66,2,0,1,24689.4699554443,32171.1844482422,53.7881317139,0x6071784F,0x7DAB2F38,0x0035C9C3
67,3,0,1,-7431.6913757324,-32629.3382110596,349.5554962158,0xE2F84F02,0x808AA96B,0x015D8E35
68,4,0,1,9340.4147186279,9334.2238311768,-2.6421356201,0x247C6A2B,0x2476394D,0xFFFD5B9D
69,5,0,1,-23465.4931640625,-21486.3880157471,-850.6194152832,0xA45681C0,0xAC119CAB,0xFCAD616E
70,6,0,1,19560.7807464600,-25520.2387695312,182.6685333252,0x4C68C7DF,0x9C4FC2E0,0x00B6AB25
71,7,0,1,-14561.1794586182,19200.3203735352,-53.6946868896,0xC71ED20F,0x4B005204,0xFFCA4E29
72,0,1,1,-3034.3006286621,20284.6567230225,350.7303161621,0xF425B30A,0x4F3CA81F,0x015EBAF6
73,1,1,1,2887.4931182861,25850.5316772461,-777.9165496826,0x0B477E3D,0x64FA881C,0xFCF6155D
74,2,1,1,25105.5928649902,10614.6551208496,-578.4907989502,0x621197C6,0x2976A7B6,0xFDBD825B
